trial : 1, best : 27792, average : 27712.248
trial : 2, best : 28092, average : 28040.776
trial : 3, best : 28448, average : 28409.664
trial : 4, best : 28448, average : 28436.752
trial : 5, best : 28192, average : 27817.776
trial : 6, best : 28412, average : 28004.464
trial : 7, best : 28192, average : 28151.112
trial : 8, best : 28412, average : 27881.256
trial : 9, best : 28148, average : 28108.952
trial : 10, best : 28448, average : 28389.4
trial : 11, best : 28412, average : 27769.48
trial : 12, best : 28192, average : 28144.288
trial : 13, best : 28192, average : 28166.816
trial : 14, best : 28092, average : 28055.272
trial : 15, best : 28092, average : 28022.632
trial : 16, best : 28448, average : 28420.72
trial : 17, best : 28448, average : 28428.728
trial : 18, best : 27992, average : 27919.944
trial : 19, best : 28448, average : 28406.6
trial : 20, best : 28448, average : 28432.728
trial : 21, best : 28092, average : 28009.936
trial : 22, best : 28192, average : 28152.12
trial : 23, best : 28192, average : 28096.176
trial : 24, best : 28448, average : 28392.44
trial : 25, best : 28092, average : 28053.696
trial : 26, best : 28356, average : 27877.4
trial : 27, best : 28012, average : 27534.136
trial : 28, best : 28448, average : 28398.928
trial : 29, best : 28448, average : 28417.68
trial : 30, best : 27868, average : 27342.952
bestAverage : OptionalDouble[28249.866666666665]AverageOfAverage : OptionalDouble[28099.835733333333]bestOfBests : OptionalInt[28448]
