trial : 1, best : 28412, average : 28041.2
trial : 2, best : 28192, average : 28128.592
trial : 3, best : 28192, average : 28164.784
trial : 4, best : 28356, average : 27963.52
trial : 5, best : 28192, average : 28153.584
trial : 6, best : 27992, average : 27927.592
trial : 7, best : 28448, average : 28407.16
trial : 8, best : 28192, average : 28139.36
trial : 9, best : 28192, average : 28137.616
trial : 10, best : 28192, average : 28170.232
trial : 11, best : 28148, average : 27547.808
trial : 12, best : 28192, average : 28160.072
trial : 13, best : 28448, average : 28411.592
trial : 14, best : 28192, average : 28138.192
trial : 15, best : 27992, average : 27931.672
trial : 16, best : 27836, average : 27760.064
trial : 17, best : 28412, average : 28335.552
trial : 18, best : 28368, average : 28268.608
trial : 19, best : 28192, average : 28153.472
trial : 20, best : 28412, average : 28145.248
trial : 21, best : 28092, average : 28036.112
trial : 22, best : 28192, average : 28152.496
trial : 23, best : 28356, average : 27912.88
trial : 24, best : 28356, average : 27870.576
trial : 25, best : 28448, average : 28426.344
trial : 26, best : 28092, average : 28026.808
trial : 27, best : 28512, average : 28382.064
trial : 28, best : 28192, average : 28172.896
trial : 29, best : 28448, average : 28403.648
trial : 30, best : 28092, average : 28044.688
bestAverage : OptionalDouble[28244.4]AverageOfAverage : OptionalDouble[28117.147733333335]bestOfBests : OptionalInt[28512]
