trial : 1, best : 28448, average : 28398.36
trial : 2, best : 28148, average : 28106.8
trial : 3, best : 28092, average : 28034.176
trial : 4, best : 28448, average : 28410.984
trial : 5, best : 27892, average : 27831.352
trial : 6, best : 28448, average : 28417.696
trial : 7, best : 28448, average : 28389.488
trial : 8, best : 27936, average : 27896.072
trial : 9, best : 28512, average : 28189.72
trial : 10, best : 28024, average : 27119.904
trial : 11, best : 28448, average : 28415.136
trial : 12, best : 28192, average : 28132.192
trial : 13, best : 28092, average : 28048.784
trial : 14, best : 28448, average : 28427.296
trial : 15, best : 28092, average : 27893.416
trial : 16, best : 28192, average : 28121.992
trial : 17, best : 28448, average : 28429.432
trial : 18, best : 28092, average : 27605.592
trial : 19, best : 28448, average : 28404.584
trial : 20, best : 28448, average : 28367.144
trial : 21, best : 28448, average : 28393.544
trial : 22, best : 28192, average : 28144.976
trial : 23, best : 27748, average : 27698.4
trial : 24, best : 28192, average : 28145.568
trial : 25, best : 28192, average : 28135.368
trial : 26, best : 27236, average : 26784.616
trial : 27, best : 28448, average : 28396.888
trial : 28, best : 28192, average : 28129.832
trial : 29, best : 28448, average : 28427.792
trial : 30, best : 28448, average : 28428.768
bestAverage : OptionalDouble[28228.0]AverageOfAverage : OptionalDouble[28110.862399999998]bestOfBests : OptionalInt[28512]
