generation : 1, best : 1471, average : 973.094
generation : 2, best : 1411, average : 1129.388
generation : 3, best : 1434, average : 1219.614
generation : 4, best : 1404, average : 1291.194
generation : 5, best : 1448, average : 1335.198
generation : 6, best : 1469, average : 1366.006
generation : 7, best : 1502, average : 1400.122
generation : 8, best : 1522, average : 1434.254
generation : 9, best : 1561, average : 1459.226
generation : 10, best : 1555, average : 1483.048
generation : 11, best : 1561, average : 1498.438
generation : 12, best : 1594, average : 1512.722
generation : 13, best : 1595, average : 1526.594
generation : 14, best : 1618, average : 1546.506
generation : 15, best : 1648, average : 1553.702
generation : 16, best : 1634, average : 1571.632
generation : 17, best : 1672, average : 1593.694
generation : 18, best : 1675, average : 1616.154
generation : 19, best : 1681, average : 1637.272
generation : 20, best : 1699, average : 1650.744
generation : 21, best : 1701, average : 1660.27
generation : 22, best : 1713, average : 1669.922
generation : 23, best : 1725, average : 1682.178
generation : 24, best : 1740, average : 1696.554
generation : 25, best : 1752, average : 1704.022
generation : 26, best : 1766, average : 1714.606
generation : 27, best : 1771, average : 1724.744
generation : 28, best : 1786, average : 1738.226
generation : 29, best : 1789, average : 1748.926
generation : 30, best : 1802, average : 1759.786
generation : 31, best : 1809, average : 1769.624
generation : 32, best : 1814, average : 1775.036
generation : 33, best : 1826, average : 1784.892
generation : 34, best : 1838, average : 1793.426
generation : 35, best : 1843, average : 1800.326
generation : 36, best : 1856, average : 1809.73
generation : 37, best : 1863, average : 1821.658
generation : 38, best : 1872, average : 1827.95
generation : 39, best : 1873, average : 1836.904
generation : 40, best : 1886, average : 1848.014
generation : 41, best : 1896, average : 1850.784
generation : 42, best : 1895, average : 1855.658
generation : 43, best : 1897, average : 1863.3
generation : 44, best : 1904, average : 1872.316
generation : 45, best : 1910, average : 1877.238
generation : 46, best : 1910, average : 1882.064
generation : 47, best : 1913, average : 1883.014
generation : 48, best : 1919, average : 1885.442
generation : 49, best : 1922, average : 1892.638
generation : 50, best : 1922, average : 1895.374
generation : 51, best : 1926, average : 1899.174
generation : 52, best : 1926, average : 1901.252
generation : 53, best : 1937, average : 1904.316
generation : 54, best : 1939, average : 1910.776
generation : 55, best : 1941, average : 1911.472
generation : 56, best : 1941, average : 1913.832
generation : 57, best : 1943, average : 1917.47
generation : 58, best : 1946, average : 1917.374
generation : 59, best : 1949, average : 1920.368
generation : 60, best : 1949, average : 1926.792
generation : 61, best : 1954, average : 1926.952
generation : 62, best : 1959, average : 1928.448
generation : 63, best : 1959, average : 1927.052
generation : 64, best : 1966, average : 1931.756
generation : 65, best : 1966, average : 1935.53
generation : 66, best : 1966, average : 1937.238
generation : 67, best : 1974, average : 1941.22
generation : 68, best : 1974, average : 1943.326
generation : 69, best : 1974, average : 1950.262
generation : 70, best : 1976, average : 1952.886
generation : 71, best : 1980, average : 1952.052
generation : 72, best : 1980, average : 1954.124
generation : 73, best : 1980, average : 1959.39
generation : 74, best : 1983, average : 1964.02
generation : 75, best : 1987, average : 1958.834
generation : 76, best : 1987, average : 1964.008
generation : 77, best : 1987, average : 1960.088
generation : 78, best : 1987, average : 1961.876
generation : 79, best : 1987, average : 1964.724
generation : 80, best : 1987, average : 1970.918
generation : 81, best : 1987, average : 1969.062
generation : 82, best : 1987, average : 1973.19
generation : 83, best : 1987, average : 1968.702
generation : 84, best : 1987, average : 1969.306
generation : 85, best : 1987, average : 1969.766
generation : 86, best : 1987, average : 1970.966
generation : 87, best : 1987, average : 1969.98
generation : 88, best : 1989, average : 1970.226
generation : 89, best : 1989, average : 1967.768
generation : 90, best : 1989, average : 1971.482
generation : 91, best : 1989, average : 1966.402
generation : 92, best : 1989, average : 1968.086
generation : 93, best : 1991, average : 1969.986
generation : 94, best : 1991, average : 1967.65
generation : 95, best : 1991, average : 1971.206
generation : 96, best : 1991, average : 1973.244
generation : 97, best : 1991, average : 1970.942
generation : 98, best : 1991, average : 1971.892
generation : 99, best : 1991, average : 1973.682
generation : 100, best : 1991, average : 1975.292
generation : 101, best : 1991, average : 1970.458
generation : 102, best : 1991, average : 1973.304
generation : 103, best : 1994, average : 1970.028
generation : 104, best : 1994, average : 1971.192
generation : 105, best : 1994, average : 1974.234
generation : 106, best : 1994, average : 1974.562
generation : 107, best : 1994, average : 1972.036
generation : 108, best : 1994, average : 1976.538
generation : 109, best : 1994, average : 1976.278
generation : 110, best : 1994, average : 1979.45
generation : 111, best : 1994, average : 1977.208
generation : 112, best : 1997, average : 1973.432
generation : 113, best : 1997, average : 1978.58
generation : 114, best : 1997, average : 1977.47
generation : 115, best : 1997, average : 1981.176
generation : 116, best : 1997, average : 1980.304
generation : 117, best : 2000, average : 1980.298
generation : 118, best : 2000, average : 1980.36
generation : 119, best : 2001, average : 1978.59
generation : 120, best : 2001, average : 1983.624
generation : 121, best : 2002, average : 1986.674
generation : 122, best : 2003, average : 1985.124
generation : 123, best : 2003, average : 1981.932
generation : 124, best : 2003, average : 1983.05
generation : 125, best : 2003, average : 1985.572
generation : 126, best : 2003, average : 1988.158
generation : 127, best : 2003, average : 1984.71
generation : 128, best : 2003, average : 1982.838
generation : 129, best : 2003, average : 1986.92
generation : 130, best : 2004, average : 1984.084
generation : 131, best : 2004, average : 1986.646
generation : 132, best : 2004, average : 1987.512
generation : 133, best : 2004, average : 1985.324
generation : 134, best : 2004, average : 1985.032
generation : 135, best : 2004, average : 1987.058
generation : 136, best : 2004, average : 1986.82
generation : 137, best : 2004, average : 1987.458
generation : 138, best : 2004, average : 1984.438
generation : 139, best : 2004, average : 1986.552
generation : 140, best : 2004, average : 1986.728
generation : 141, best : 2004, average : 1986.458
generation : 142, best : 2004, average : 1985.858
generation : 143, best : 2004, average : 1984.002
generation : 144, best : 2004, average : 1984.56
generation : 145, best : 2004, average : 1986.094
generation : 146, best : 2004, average : 1985.794
generation : 147, best : 2004, average : 1986.866
generation : 148, best : 2008, average : 1986.552
generation : 149, best : 2008, average : 1983.928
generation : 150, best : 2008, average : 1985.408
generation : 151, best : 2008, average : 1985.898
generation : 152, best : 2009, average : 1991.626
generation : 153, best : 2011, average : 1990.344
