trial : 1, best : 2079, average : 2059.32
trial : 2, best : 2241, average : 2221.904
trial : 3, best : 2290, average : 2269.202
trial : 4, best : 2104, average : 2081.324
trial : 5, best : 2234, average : 2215.108
trial : 6, best : 2193, average : 2174.126
trial : 7, best : 2076, average : 2056.24
trial : 8, best : 2021, average : 2001.098
trial : 9, best : 2121, average : 2102.238
trial : 10, best : 2260, average : 2236.49
trial : 11, best : 2087, average : 2067.26
trial : 12, best : 2176, average : 2154.746
trial : 13, best : 2400, average : 2374.188
trial : 14, best : 2282, average : 2264.002
trial : 15, best : 2171, average : 2148.68
trial : 16, best : 2100, average : 2079.912
trial : 17, best : 2268, average : 2242.634
trial : 18, best : 2196, average : 2171.53
trial : 19, best : 2324, average : 2301.934
trial : 20, best : 2103, average : 2080.088
trial : 21, best : 2092, average : 2070.848
trial : 22, best : 2165, average : 2146.222
trial : 23, best : 2209, average : 2188.384
trial : 24, best : 2311, average : 2287.846
trial : 25, best : 2048, average : 2028.112
trial : 26, best : 2081, average : 2062.182
trial : 27, best : 2313, average : 2289.062
trial : 28, best : 2121, average : 2098.984
trial : 29, best : 2156, average : 2136.254
trial : 30, best : 2336, average : 2315.126
bestAverage : OptionalDouble[2185.266666666667]bestAverage : OptionalDouble[2164.1681333333336]
