trial : 1, best : 2064, average : 2047.43
trial : 2, best : 2153, average : 2135.1
trial : 3, best : 2448, average : 2427.368
trial : 4, best : 2219, average : 2191.528
trial : 5, best : 2121, average : 2105.248
trial : 6, best : 2162, average : 2136.954
trial : 7, best : 2391, average : 2369.882
trial : 8, best : 2255, average : 2234.15
trial : 9, best : 2065, average : 2046.906
trial : 10, best : 2090, average : 2070.714
trial : 11, best : 2302, average : 2277.642
trial : 12, best : 2205, average : 2184.538
trial : 13, best : 2172, average : 2151.008
trial : 14, best : 2198, average : 2176.958
trial : 15, best : 2234, average : 2211.762
trial : 16, best : 2222, average : 2200.46
trial : 17, best : 2051, average : 2030.992
trial : 18, best : 2180, average : 2159.552
trial : 19, best : 2204, average : 2185.09
trial : 20, best : 2200, average : 2180.106
trial : 21, best : 2369, average : 2343.072
trial : 22, best : 2118, average : 2095.524
trial : 23, best : 2209, average : 2186.554
trial : 24, best : 2597, average : 2574.052
trial : 25, best : 2085, average : 2065.13
trial : 26, best : 2201, average : 2179.722
trial : 27, best : 2149, average : 2128.814
trial : 28, best : 2206, average : 2181.794
trial : 29, best : 2286, average : 2265.594
trial : 30, best : 2134, average : 2115.192
bestAverage : OptionalDouble[2209.6666666666665]bestAverage : OptionalDouble[2188.6278666666667]
