generation : 1, best : 1450, average : 662.188
generation : 2, best : 1309, average : 668.128
generation : 3, best : 1341, average : 639.644
generation : 4, best : 1209, average : 615.28
generation : 5, best : 981, average : 581.85
generation : 6, best : 889, average : 540.592
generation : 7, best : 745, average : 506.372
generation : 8, best : 662, average : 484.624
generation : 9, best : 649, average : 467.292
generation : 10, best : 607, average : 447.49
generation : 11, best : 567, average : 434.878
generation : 12, best : 548, average : 417.362
generation : 13, best : 540, average : 404.63
generation : 14, best : 537, average : 389.21
generation : 15, best : 517, average : 379.422
generation : 16, best : 479, average : 370.006
generation : 17, best : 486, average : 364.546
generation : 18, best : 470, average : 357.33
generation : 19, best : 475, average : 345.974
generation : 20, best : 465, average : 340.928
generation : 21, best : 481, average : 332.652
generation : 22, best : 436, average : 326.344
generation : 23, best : 415, average : 325.884
generation : 24, best : 403, average : 325.968
generation : 25, best : 423, average : 326.806
generation : 26, best : 418, average : 327.386
generation : 27, best : 426, average : 329.514
generation : 28, best : 406, average : 328.816
generation : 29, best : 411, average : 328.732
generation : 30, best : 411, average : 332.0
generation : 31, best : 414, average : 332.922
generation : 32, best : 424, average : 332.332
generation : 33, best : 412, average : 332.626
generation : 34, best : 413, average : 336.398
generation : 35, best : 426, average : 336.944
generation : 36, best : 416, average : 339.498
generation : 37, best : 446, average : 340.588
generation : 38, best : 414, average : 342.314
generation : 39, best : 419, average : 343.138
generation : 40, best : 418, average : 343.354
generation : 41, best : 423, average : 343.648
generation : 42, best : 417, average : 344.51
generation : 43, best : 432, average : 344.782
generation : 44, best : 438, average : 345.778
generation : 45, best : 433, average : 346.768
generation : 46, best : 429, average : 348.984
generation : 47, best : 442, average : 350.87
generation : 48, best : 437, average : 353.274
generation : 49, best : 438, average : 354.916
generation : 50, best : 447, average : 356.832
generation : 51, best : 462, average : 358.732
generation : 52, best : 450, average : 359.128
generation : 53, best : 446, average : 361.502
generation : 54, best : 438, average : 361.604
generation : 55, best : 448, average : 362.078
generation : 56, best : 448, average : 362.51
generation : 57, best : 451, average : 364.486
generation : 58, best : 449, average : 363.084
generation : 59, best : 453, average : 362.622
generation : 60, best : 445, average : 364.338
generation : 61, best : 446, average : 366.116
generation : 62, best : 454, average : 366.308
generation : 63, best : 462, average : 365.8
generation : 64, best : 475, average : 368.236
generation : 65, best : 454, average : 367.062
generation : 66, best : 465, average : 367.698
generation : 67, best : 465, average : 367.188
generation : 68, best : 462, average : 368.236
generation : 69, best : 468, average : 368.832
generation : 70, best : 462, average : 368.566
generation : 71, best : 463, average : 367.98
generation : 72, best : 459, average : 370.772
generation : 73, best : 474, average : 370.788
generation : 74, best : 480, average : 371.908
generation : 75, best : 476, average : 368.826
generation : 76, best : 469, average : 371.634
generation : 77, best : 470, average : 371.63
generation : 78, best : 470, average : 372.464
generation : 79, best : 473, average : 373.904
generation : 80, best : 471, average : 373.888
generation : 81, best : 470, average : 372.136
generation : 82, best : 452, average : 373.118
generation : 83, best : 455, average : 375.226
generation : 84, best : 473, average : 375.976
generation : 85, best : 454, average : 379.14
generation : 86, best : 465, average : 378.136
generation : 87, best : 474, average : 377.618
generation : 88, best : 479, average : 380.608
generation : 89, best : 479, average : 381.012
generation : 90, best : 470, average : 384.46
generation : 91, best : 460, average : 383.128
generation : 92, best : 464, average : 386.268
generation : 93, best : 471, average : 386.524
generation : 94, best : 472, average : 387.09
generation : 95, best : 468, average : 389.154
generation : 96, best : 467, average : 388.65
generation : 97, best : 485, average : 389.722
generation : 98, best : 494, average : 392.346
generation : 99, best : 494, average : 393.864
generation : 100, best : 484, average : 394.604
generation : 101, best : 474, average : 392.578
generation : 102, best : 473, average : 394.004
generation : 103, best : 466, average : 392.718
generation : 104, best : 500, average : 393.38
generation : 105, best : 475, average : 391.432
generation : 106, best : 483, average : 389.69
generation : 107, best : 485, average : 390.596
generation : 108, best : 492, average : 391.978
generation : 109, best : 492, average : 392.292
generation : 110, best : 481, average : 394.42
generation : 111, best : 485, average : 395.27
generation : 112, best : 479, average : 395.7
generation : 113, best : 475, average : 396.132
generation : 114, best : 481, average : 399.254
generation : 115, best : 483, average : 401.402
generation : 116, best : 482, average : 401.928
generation : 117, best : 490, average : 404.338
generation : 118, best : 483, average : 405.572
generation : 119, best : 500, average : 408.848
generation : 120, best : 488, average : 409.178
generation : 121, best : 486, average : 408.792
generation : 122, best : 493, average : 408.682
generation : 123, best : 492, average : 406.722
generation : 124, best : 511, average : 409.222
generation : 125, best : 511, average : 411.262
generation : 126, best : 505, average : 412.556
generation : 127, best : 505, average : 412.812
generation : 128, best : 499, average : 410.458
generation : 129, best : 503, average : 410.582
generation : 130, best : 516, average : 412.078
generation : 131, best : 506, average : 411.65
generation : 132, best : 501, average : 414.752
generation : 133, best : 485, average : 413.814
generation : 134, best : 499, average : 416.642
generation : 135, best : 498, average : 417.378
generation : 136, best : 506, average : 419.708
generation : 137, best : 506, average : 419.622
generation : 138, best : 492, average : 421.946
generation : 139, best : 497, average : 424.024
generation : 140, best : 504, average : 423.83
generation : 141, best : 504, average : 426.03
generation : 142, best : 496, average : 425.566
generation : 143, best : 502, average : 423.192
generation : 144, best : 498, average : 421.83
generation : 145, best : 501, average : 421.72
generation : 146, best : 504, average : 420.158
generation : 147, best : 502, average : 420.106
generation : 148, best : 504, average : 423.196
generation : 149, best : 502, average : 422.582
generation : 150, best : 507, average : 419.924
generation : 151, best : 507, average : 420.37
generation : 152, best : 510, average : 423.496
generation : 153, best : 510, average : 423.718
generation : 154, best : 510, average : 423.95
generation : 155, best : 510, average : 423.55
generation : 156, best : 508, average : 423.96
generation : 157, best : 506, average : 421.124
generation : 158, best : 508, average : 420.448
generation : 159, best : 499, average : 420.08
generation : 160, best : 504, average : 418.57
generation : 161, best : 502, average : 418.946
generation : 162, best : 505, average : 417.626
generation : 163, best : 500, average : 417.426
generation : 164, best : 500, average : 419.914
generation : 165, best : 500, average : 419.002
generation : 166, best : 506, average : 415.136
generation : 167, best : 500, average : 414.084
generation : 168, best : 497, average : 413.788
