trial : 1, best : 2316, average : 2292.562
trial : 2, best : 2264, average : 2242.798
trial : 3, best : 2602, average : 2575.25
trial : 4, best : 2341, average : 2317.362
trial : 5, best : 2021, average : 2001.204
trial : 6, best : 2142, average : 2121.26
trial : 7, best : 2005, average : 1985.434
trial : 8, best : 2178, average : 2155.988
trial : 9, best : 2083, average : 2063.714
trial : 10, best : 2227, average : 2203.484
trial : 11, best : 2193, average : 2169.87
trial : 12, best : 2645, average : 2616.818
trial : 13, best : 2292, average : 2268.884
trial : 14, best : 2181, average : 2161.968
trial : 15, best : 2240, average : 2218.406
trial : 16, best : 2153, average : 2131.558
trial : 17, best : 2145, average : 2126.888
trial : 18, best : 2246, average : 2224.96
trial : 19, best : 2180, average : 2162.15
trial : 20, best : 2093, average : 2074.738
trial : 21, best : 2152, average : 2130.286
trial : 22, best : 2111, average : 2093.992
trial : 23, best : 2146, average : 2125.004
trial : 24, best : 2185, average : 2159.28
trial : 25, best : 1998, average : 1981.594
trial : 26, best : 2130, average : 2107.302
trial : 27, best : 2175, average : 2156.638
trial : 28, best : 2168, average : 2147.46
trial : 29, best : 2088, average : 2068.386
trial : 30, best : 2158, average : 2137.258
bestAverage : OptionalDouble[2195.266666666667]bestAverage : OptionalDouble[2174.0832]
