generation : 1, best : 1621, average : 1008.08
generation : 2, best : 1587, average : 1214.15
generation : 3, best : 1538, average : 1302.262
generation : 4, best : 1533, average : 1367.534
generation : 5, best : 1573, average : 1430.0
generation : 6, best : 1559, average : 1480.63
generation : 7, best : 1589, average : 1518.452
generation : 8, best : 1614, average : 1546.784
generation : 9, best : 1620, average : 1566.194
generation : 10, best : 1634, average : 1584.938
generation : 11, best : 1661, average : 1601.514
generation : 12, best : 1684, average : 1615.854
generation : 13, best : 1690, average : 1633.582
generation : 14, best : 1713, average : 1649.764
generation : 15, best : 1737, average : 1667.046
generation : 16, best : 1754, average : 1684.988
generation : 17, best : 1775, average : 1705.878
generation : 18, best : 1785, average : 1724.972
generation : 19, best : 1800, average : 1739.046
generation : 20, best : 1820, average : 1758.516
generation : 21, best : 1823, average : 1774.018
generation : 22, best : 1831, average : 1788.946
generation : 23, best : 1835, average : 1798.19
generation : 24, best : 1859, average : 1802.202
generation : 25, best : 1862, average : 1812.134
generation : 26, best : 1884, average : 1825.546
generation : 27, best : 1888, average : 1841.58
generation : 28, best : 1918, average : 1857.472
generation : 29, best : 1918, average : 1868.776
generation : 30, best : 1926, average : 1885.804
generation : 31, best : 1943, average : 1896.13
generation : 32, best : 1957, average : 1909.048
generation : 33, best : 1970, average : 1921.8
generation : 34, best : 1978, average : 1934.162
generation : 35, best : 1985, average : 1944.004
generation : 36, best : 1983, average : 1949.722
generation : 37, best : 1985, average : 1959.488
generation : 38, best : 1992, average : 1965.514
generation : 39, best : 2004, average : 1969.636
generation : 40, best : 2008, average : 1976.438
generation : 41, best : 2018, average : 1981.314
generation : 42, best : 2015, average : 1988.568
generation : 43, best : 2022, average : 1994.23
generation : 44, best : 2026, average : 1995.126
generation : 45, best : 2033, average : 2001.506
generation : 46, best : 2039, average : 2006.36
generation : 47, best : 2041, average : 2013.342
generation : 48, best : 2045, average : 2016.878
generation : 49, best : 2058, average : 2023.412
generation : 50, best : 2058, average : 2026.97
generation : 51, best : 2059, average : 2030.6
generation : 52, best : 2061, average : 2031.51
generation : 53, best : 2067, average : 2037.268
generation : 54, best : 2067, average : 2039.666
generation : 55, best : 2067, average : 2040.802
generation : 56, best : 2074, average : 2045.388
generation : 57, best : 2084, average : 2045.53
generation : 58, best : 2084, average : 2053.41
generation : 59, best : 2084, average : 2055.654
generation : 60, best : 2085, average : 2054.1
generation : 61, best : 2087, average : 2057.06
generation : 62, best : 2094, average : 2065.858
generation : 63, best : 2097, average : 2069.338
generation : 64, best : 2101, average : 2069.38
generation : 65, best : 2102, average : 2075.814
generation : 66, best : 2107, average : 2081.174
generation : 67, best : 2114, average : 2083.934
generation : 68, best : 2110, average : 2087.448
generation : 69, best : 2110, average : 2086.03
generation : 70, best : 2110, average : 2092.706
generation : 71, best : 2110, average : 2088.81
generation : 72, best : 2110, average : 2094.942
generation : 73, best : 2122, average : 2098.388
generation : 74, best : 2129, average : 2096.732
generation : 75, best : 2124, average : 2099.702
generation : 76, best : 2125, average : 2104.332
generation : 77, best : 2130, average : 2106.79
generation : 78, best : 2142, average : 2111.85
generation : 79, best : 2142, average : 2118.26
generation : 80, best : 2142, average : 2122.64
generation : 81, best : 2142, average : 2124.366
generation : 82, best : 2142, average : 2125.68
generation : 83, best : 2142, average : 2124.994
generation : 84, best : 2142, average : 2123.208
generation : 85, best : 2143, average : 2123.05
generation : 86, best : 2150, average : 2126.982
generation : 87, best : 2160, average : 2128.848
generation : 88, best : 2160, average : 2132.842
generation : 89, best : 2160, average : 2135.912
generation : 90, best : 2162, average : 2141.786
generation : 91, best : 2162, average : 2141.676
generation : 92, best : 2163, average : 2147.698
generation : 93, best : 2166, average : 2145.636
generation : 94, best : 2166, average : 2142.232
generation : 95, best : 2165, average : 2144.098
generation : 96, best : 2166, average : 2149.796
generation : 97, best : 2173, average : 2150.262
generation : 98, best : 2173, average : 2153.522
generation : 99, best : 2173, average : 2151.532
generation : 100, best : 2173, average : 2155.518
generation : 101, best : 2179, average : 2156.256
generation : 102, best : 2179, average : 2158.842
generation : 103, best : 2180, average : 2158.702
generation : 104, best : 2179, average : 2160.914
generation : 105, best : 2185, average : 2162.56
generation : 106, best : 2183, average : 2160.292
generation : 107, best : 2185, average : 2166.91
generation : 108, best : 2190, average : 2164.094
generation : 109, best : 2190, average : 2166.018
generation : 110, best : 2190, average : 2167.086
generation : 111, best : 2192, average : 2173.376
generation : 112, best : 2192, average : 2173.148
generation : 113, best : 2192, average : 2173.292
generation : 114, best : 2192, average : 2173.522
generation : 115, best : 2192, average : 2174.096
generation : 116, best : 2197, average : 2173.632
generation : 117, best : 2197, average : 2170.798
generation : 118, best : 2197, average : 2174.4
generation : 119, best : 2198, average : 2178.66
generation : 120, best : 2197, average : 2175.538
generation : 121, best : 2199, average : 2177.018
generation : 122, best : 2205, average : 2174.68
generation : 123, best : 2200, average : 2180.378
generation : 124, best : 2200, average : 2180.082
generation : 125, best : 2206, average : 2187.32
generation : 126, best : 2209, average : 2185.026
generation : 127, best : 2209, average : 2184.986
generation : 128, best : 2209, average : 2188.264
generation : 129, best : 2209, average : 2190.858
generation : 130, best : 2209, average : 2186.746
generation : 131, best : 2209, average : 2190.606
generation : 132, best : 2209, average : 2192.758
generation : 133, best : 2209, average : 2187.934
generation : 134, best : 2209, average : 2191.014
generation : 135, best : 2209, average : 2184.478
generation : 136, best : 2209, average : 2190.374
generation : 137, best : 2209, average : 2188.802
generation : 138, best : 2209, average : 2188.788
generation : 139, best : 2209, average : 2184.9
generation : 140, best : 2209, average : 2186.986
generation : 141, best : 2209, average : 2189.492
generation : 142, best : 2212, average : 2188.396
generation : 143, best : 2212, average : 2188.508
generation : 144, best : 2212, average : 2188.116
generation : 145, best : 2214, average : 2190.632
generation : 146, best : 2214, average : 2191.52
generation : 147, best : 2214, average : 2193.556
generation : 148, best : 2214, average : 2193.35
generation : 149, best : 2214, average : 2191.052
generation : 150, best : 2214, average : 2193.194
generation : 151, best : 2214, average : 2196.228
generation : 152, best : 2214, average : 2193.954
generation : 153, best : 2214, average : 2194.648
generation : 154, best : 2214, average : 2197.964
generation : 155, best : 2215, average : 2189.364
generation : 156, best : 2216, average : 2198.288
generation : 157, best : 2216, average : 2194.736
generation : 158, best : 2215, average : 2195.14
generation : 159, best : 2216, average : 2194.038
generation : 160, best : 2216, average : 2193.254
generation : 161, best : 2216, average : 2191.606
generation : 162, best : 2216, average : 2198.556
generation : 163, best : 2216, average : 2196.842
generation : 164, best : 2216, average : 2195.434
generation : 165, best : 2216, average : 2196.258
generation : 166, best : 2216, average : 2194.796
generation : 167, best : 2219, average : 2193.594
generation : 168, best : 2219, average : 2196.84
generation : 169, best : 2219, average : 2197.612
generation : 170, best : 2219, average : 2194.292
generation : 171, best : 2219, average : 2199.054
generation : 172, best : 2219, average : 2199.932
generation : 173, best : 2219, average : 2195.458
generation : 174, best : 2219, average : 2198.444
generation : 175, best : 2219, average : 2197.734
generation : 176, best : 2219, average : 2198.64
generation : 177, best : 2219, average : 2200.37
generation : 178, best : 2219, average : 2197.382
generation : 179, best : 2219, average : 2198.394
generation : 180, best : 2219, average : 2199.036
generation : 181, best : 2219, average : 2194.586
generation : 182, best : 2219, average : 2197.74
generation : 183, best : 2219, average : 2198.63
generation : 184, best : 2219, average : 2198.406
generation : 185, best : 2219, average : 2198.91
generation : 186, best : 2225, average : 2198.862
generation : 187, best : 2225, average : 2203.852
generation : 188, best : 2225, average : 2206.358
generation : 189, best : 2225, average : 2205.586
generation : 190, best : 2225, average : 2203.564
generation : 191, best : 2225, average : 2206.85
generation : 192, best : 2225, average : 2204.856
generation : 193, best : 2225, average : 2203.856
generation : 194, best : 2227, average : 2209.346
generation : 195, best : 2227, average : 2205.918
generation : 196, best : 2227, average : 2207.452
generation : 197, best : 2229, average : 2208.092
generation : 198, best : 2229, average : 2210.0
generation : 199, best : 2229, average : 2209.048
generation : 200, best : 2229, average : 2207.406
generation : 201, best : 2231, average : 2208.65
generation : 202, best : 2231, average : 2213.682
generation : 203, best : 2231, average : 2211.226
generation : 204, best : 2231, average : 2206.818
generation : 205, best : 2231, average : 2208.714
generation : 206, best : 2232, average : 2211.808
generation : 207, best : 2231, average : 2210.96
generation : 208, best : 2231, average : 2206.87
generation : 209, best : 2231, average : 2208.052
generation : 210, best : 2232, average : 2207.316
generation : 211, best : 2232, average : 2212.626
generation : 212, best : 2232, average : 2211.106
generation : 213, best : 2232, average : 2208.146
generation : 214, best : 2233, average : 2211.93
generation : 215, best : 2232, average : 2212.118
generation : 216, best : 2234, average : 2210.214
generation : 217, best : 2234, average : 2212.028
generation : 218, best : 2236, average : 2208.93
generation : 219, best : 2234, average : 2218.662
generation : 220, best : 2239, average : 2213.034
generation : 221, best : 2243, average : 2223.242
generation : 222, best : 2243, average : 2223.144
generation : 223, best : 2243, average : 2219.528
generation : 224, best : 2243, average : 2221.736
generation : 225, best : 2243, average : 2222.72
generation : 226, best : 2243, average : 2221.522
generation : 227, best : 2244, average : 2221.336
generation : 228, best : 2244, average : 2227.018
generation : 229, best : 2244, average : 2222.44
generation : 230, best : 2244, average : 2223.536
generation : 231, best : 2244, average : 2220.822
generation : 232, best : 2244, average : 2224.738
generation : 233, best : 2244, average : 2225.726
generation : 234, best : 2244, average : 2223.106
generation : 235, best : 2244, average : 2222.612
generation : 236, best : 2245, average : 2223.124
generation : 237, best : 2245, average : 2223.064
generation : 238, best : 2245, average : 2229.864
generation : 239, best : 2245, average : 2223.388
generation : 240, best : 2249, average : 2225.394
generation : 241, best : 2249, average : 2223.194
generation : 242, best : 2249, average : 2226.186
generation : 243, best : 2249, average : 2225.164
generation : 244, best : 2249, average : 2230.042
generation : 245, best : 2249, average : 2226.176
generation : 246, best : 2249, average : 2227.194
generation : 247, best : 2249, average : 2228.712
generation : 248, best : 2249, average : 2228.568
generation : 249, best : 2249, average : 2230.644
generation : 250, best : 2249, average : 2226.612
generation : 251, best : 2249, average : 2226.146
generation : 252, best : 2249, average : 2225.91
generation : 253, best : 2249, average : 2227.728
generation : 254, best : 2249, average : 2228.638
generation : 255, best : 2249, average : 2228.526
generation : 256, best : 2249, average : 2225.8
generation : 257, best : 2249, average : 2228.094
generation : 258, best : 2249, average : 2229.536
generation : 259, best : 2249, average : 2227.586
generation : 260, best : 2249, average : 2230.184
generation : 261, best : 2249, average : 2229.076
generation : 262, best : 2249, average : 2227.06
generation : 263, best : 2249, average : 2229.126
generation : 264, best : 2249, average : 2229.416
generation : 265, best : 2249, average : 2228.034
generation : 266, best : 2250, average : 2229.056
generation : 267, best : 2250, average : 2227.966
generation : 268, best : 2250, average : 2227.084
generation : 269, best : 2250, average : 2231.832
generation : 270, best : 2251, average : 2229.576
generation : 271, best : 2251, average : 2228.252
generation : 272, best : 2251, average : 2230.818
generation : 273, best : 2252, average : 2230.584
generation : 274, best : 2252, average : 2230.332
generation : 275, best : 2252, average : 2232.16
generation : 276, best : 2252, average : 2227.652
generation : 277, best : 2252, average : 2231.158
generation : 278, best : 2256, average : 2232.91
generation : 279, best : 2255, average : 2235.422
generation : 280, best : 2256, average : 2232.724
generation : 281, best : 2256, average : 2234.85
generation : 282, best : 2256, average : 2234.68
generation : 283, best : 2256, average : 2234.396
generation : 284, best : 2256, average : 2235.408
generation : 285, best : 2256, average : 2232.86
generation : 286, best : 2256, average : 2233.356
generation : 287, best : 2256, average : 2237.912
generation : 288, best : 2256, average : 2235.138
generation : 289, best : 2256, average : 2236.958
generation : 290, best : 2256, average : 2236.772
generation : 291, best : 2256, average : 2237.118
generation : 292, best : 2256, average : 2232.206
generation : 293, best : 2256, average : 2236.39
generation : 294, best : 2256, average : 2233.884
generation : 295, best : 2256, average : 2231.508
generation : 296, best : 2256, average : 2234.6
generation : 297, best : 2256, average : 2232.16
generation : 298, best : 2256, average : 2232.482
generation : 299, best : 2256, average : 2232.224
generation : 300, best : 2256, average : 2234.208
generation : 301, best : 2256, average : 2233.528
generation : 302, best : 2256, average : 2234.366
generation : 303, best : 2256, average : 2235.016
generation : 304, best : 2256, average : 2232.904
generation : 305, best : 2256, average : 2235.026
generation : 306, best : 2256, average : 2236.28
generation : 307, best : 2256, average : 2236.464
generation : 308, best : 2256, average : 2231.986
generation : 309, best : 2256, average : 2236.826
generation : 310, best : 2256, average : 2236.564
generation : 311, best : 2260, average : 2239.786
generation : 312, best : 2260, average : 2237.216
generation : 313, best : 2260, average : 2236.51
generation : 314, best : 2260, average : 2241.556
generation : 315, best : 2260, average : 2236.032
generation : 316, best : 2260, average : 2238.862
generation : 317, best : 2260, average : 2238.648
generation : 318, best : 2260, average : 2236.9
generation : 319, best : 2260, average : 2239.358
generation : 320, best : 2260, average : 2238.73
generation : 321, best : 2260, average : 2238.918
generation : 322, best : 2260, average : 2238.776
generation : 323, best : 2260, average : 2238.312
generation : 324, best : 2260, average : 2238.39
generation : 325, best : 2260, average : 2238.586
generation : 326, best : 2260, average : 2236.952
generation : 327, best : 2260, average : 2240.202
generation : 328, best : 2260, average : 2239.038
generation : 329, best : 2260, average : 2239.36
generation : 330, best : 2260, average : 2238.648
generation : 331, best : 2260, average : 2235.988
generation : 332, best : 2260, average : 2239.156
generation : 333, best : 2260, average : 2238.584
generation : 334, best : 2260, average : 2240.432
generation : 335, best : 2260, average : 2234.882
generation : 336, best : 2260, average : 2239.098
generation : 337, best : 2260, average : 2237.46
generation : 338, best : 2260, average : 2239.89
generation : 339, best : 2260, average : 2242.756
generation : 340, best : 2260, average : 2237.244
generation : 341, best : 2260, average : 2242.05
generation : 342, best : 2260, average : 2238.01
generation : 343, best : 2260, average : 2240.308
generation : 344, best : 2260, average : 2239.496
generation : 345, best : 2260, average : 2240.544
generation : 346, best : 2260, average : 2236.36
generation : 347, best : 2260, average : 2238.75
generation : 348, best : 2260, average : 2238.206
generation : 349, best : 2260, average : 2237.71
generation : 350, best : 2260, average : 2238.164
generation : 351, best : 2260, average : 2236.352
generation : 352, best : 2260, average : 2239.664
generation : 353, best : 2260, average : 2239.502
generation : 354, best : 2260, average : 2239.374
generation : 355, best : 2260, average : 2237.544
generation : 356, best : 2260, average : 2239.616
generation : 357, best : 2260, average : 2240.032
generation : 358, best : 2260, average : 2239.508
generation : 359, best : 2260, average : 2240.308
generation : 360, best : 2260, average : 2239.536
generation : 361, best : 2260, average : 2236.31
generation : 362, best : 2260, average : 2238.02
generation : 363, best : 2260, average : 2241.098
generation : 364, best : 2260, average : 2241.47
generation : 365, best : 2260, average : 2236.994
generation : 366, best : 2260, average : 2240.614
generation : 367, best : 2260, average : 2240.556
generation : 368, best : 2260, average : 2239.616
generation : 369, best : 2260, average : 2237.004
generation : 370, best : 2260, average : 2235.052
generation : 371, best : 2260, average : 2238.062
generation : 372, best : 2260, average : 2237.344
generation : 373, best : 2260, average : 2239.308
generation : 374, best : 2260, average : 2236.218
generation : 375, best : 2260, average : 2242.388
generation : 376, best : 2260, average : 2238.49
generation : 377, best : 2260, average : 2235.36
generation : 378, best : 2260, average : 2233.846
generation : 379, best : 2260, average : 2236.888
generation : 380, best : 2260, average : 2234.284
generation : 381, best : 2260, average : 2239.854
generation : 382, best : 2260, average : 2239.912
generation : 383, best : 2260, average : 2239.766
generation : 384, best : 2260, average : 2235.846
generation : 385, best : 2260, average : 2238.508
generation : 386, best : 2260, average : 2237.94
generation : 387, best : 2260, average : 2240.0
generation : 388, best : 2260, average : 2235.504
generation : 389, best : 2260, average : 2241.796
generation : 390, best : 2260, average : 2237.532
generation : 391, best : 2260, average : 2240.23
generation : 392, best : 2260, average : 2241.144
generation : 393, best : 2262, average : 2242.572
generation : 394, best : 2262, average : 2247.044
generation : 395, best : 2262, average : 2240.238
generation : 396, best : 2262, average : 2240.226
generation : 397, best : 2262, average : 2241.586
generation : 398, best : 2262, average : 2241.316
generation : 399, best : 2262, average : 2241.774
generation : 400, best : 2262, average : 2242.732
generation : 401, best : 2262, average : 2239.566
generation : 402, best : 2262, average : 2243.554
generation : 403, best : 2262, average : 2239.328
generation : 404, best : 2262, average : 2239.936
generation : 405, best : 2262, average : 2241.788
generation : 406, best : 2262, average : 2238.638
generation : 407, best : 2262, average : 2242.482
generation : 408, best : 2262, average : 2241.814
generation : 409, best : 2262, average : 2240.712
generation : 410, best : 2262, average : 2240.244
generation : 411, best : 2262, average : 2238.09
generation : 412, best : 2262, average : 2238.022
generation : 413, best : 2262, average : 2241.124
generation : 414, best : 2262, average : 2240.034
generation : 415, best : 2262, average : 2240.828
generation : 416, best : 2262, average : 2241.204
generation : 417, best : 2262, average : 2240.14
generation : 418, best : 2262, average : 2241.644
generation : 419, best : 2262, average : 2238.72
generation : 420, best : 2262, average : 2241.162
generation : 421, best : 2262, average : 2241.738
generation : 422, best : 2262, average : 2239.534
generation : 423, best : 2262, average : 2240.576
generation : 424, best : 2262, average : 2243.796
generation : 425, best : 2262, average : 2236.854
generation : 426, best : 2262, average : 2239.178
generation : 427, best : 2262, average : 2242.674
generation : 428, best : 2262, average : 2239.106
generation : 429, best : 2262, average : 2235.954
generation : 430, best : 2262, average : 2239.782
generation : 431, best : 2262, average : 2240.312
generation : 432, best : 2262, average : 2244.364
generation : 433, best : 2262, average : 2244.106
generation : 434, best : 2262, average : 2241.444
generation : 435, best : 2262, average : 2240.884
generation : 436, best : 2262, average : 2237.758
generation : 437, best : 2262, average : 2236.222
generation : 438, best : 2262, average : 2240.03
generation : 439, best : 2262, average : 2238.158
generation : 440, best : 2262, average : 2240.57
generation : 441, best : 2262, average : 2239.798
generation : 442, best : 2262, average : 2240.054
generation : 443, best : 2262, average : 2242.366
generation : 444, best : 2262, average : 2240.45
generation : 445, best : 2262, average : 2241.682
generation : 446, best : 2262, average : 2239.524
generation : 447, best : 2262, average : 2241.796
generation : 448, best : 2262, average : 2240.708
generation : 449, best : 2262, average : 2241.352
generation : 450, best : 2262, average : 2240.32
generation : 451, best : 2262, average : 2241.232
generation : 452, best : 2262, average : 2239.872
generation : 453, best : 2262, average : 2240.69
generation : 454, best : 2262, average : 2244.068
generation : 455, best : 2262, average : 2240.402
generation : 456, best : 2262, average : 2240.466
generation : 457, best : 2262, average : 2240.904
generation : 458, best : 2262, average : 2244.928
generation : 459, best : 2262, average : 2240.684
generation : 460, best : 2262, average : 2239.602
generation : 461, best : 2262, average : 2239.528
generation : 462, best : 2262, average : 2239.602
generation : 463, best : 2262, average : 2242.93
generation : 464, best : 2262, average : 2238.906
generation : 465, best : 2262, average : 2238.968
generation : 466, best : 2262, average : 2241.378
generation : 467, best : 2262, average : 2241.274
generation : 468, best : 2262, average : 2241.028
generation : 469, best : 2262, average : 2239.594
generation : 470, best : 2262, average : 2240.46
generation : 471, best : 2262, average : 2242.612
generation : 472, best : 2262, average : 2240.088
generation : 473, best : 2262, average : 2238.17
generation : 474, best : 2262, average : 2240.674
generation : 475, best : 2262, average : 2239.126
generation : 476, best : 2262, average : 2237.358
generation : 477, best : 2263, average : 2240.956
generation : 478, best : 2263, average : 2239.852
generation : 479, best : 2263, average : 2239.8
