trial : 1, best : 2174, average : 2152.172
trial : 2, best : 2234, average : 2213.956
trial : 3, best : 2247, average : 2228.82
trial : 4, best : 2081, average : 2061.336
trial : 5, best : 2201, average : 2179.104
trial : 6, best : 2260, average : 2239.754
trial : 7, best : 2491, average : 2463.842
trial : 8, best : 2242, average : 2220.394
trial : 9, best : 2171, average : 2152.75
trial : 10, best : 2195, average : 2175.102
trial : 11, best : 2061, average : 2042.746
trial : 12, best : 2167, average : 2150.304
trial : 13, best : 2026, average : 2006.382
trial : 14, best : 2088, average : 2069.042
trial : 15, best : 2441, average : 2416.394
trial : 16, best : 2308, average : 2287.89
trial : 17, best : 2252, average : 2228.082
trial : 18, best : 2235, average : 2212.274
trial : 19, best : 2365, average : 2338.986
trial : 20, best : 2146, average : 2123.85
trial : 21, best : 2118, average : 2097.344
trial : 22, best : 2153, average : 2135.15
trial : 23, best : 2197, average : 2176.254
trial : 24, best : 2269, average : 2247.582
trial : 25, best : 2086, average : 2067.276
trial : 26, best : 2078, average : 2060.998
trial : 27, best : 2316, average : 2298.158
trial : 28, best : 2045, average : 2027.3
trial : 29, best : 2046, average : 2028.446
trial : 30, best : 2075, average : 2052.8
bestAverage : OptionalDouble[2192.266666666667]bestAverage : OptionalDouble[2171.8162666666667]
