generation : 1, best : 1558, average : 1028.504
generation : 2, best : 1553, average : 1203.868
generation : 3, best : 1545, average : 1279.856
generation : 4, best : 1479, average : 1320.922
generation : 5, best : 1465, average : 1344.894
generation : 6, best : 1535, average : 1377.12
generation : 7, best : 1520, average : 1402.054
generation : 8, best : 1549, average : 1424.602
generation : 9, best : 1573, average : 1446.41
generation : 10, best : 1573, average : 1473.586
generation : 11, best : 1603, average : 1513.062
generation : 12, best : 1631, average : 1543.792
generation : 13, best : 1648, average : 1572.17
generation : 14, best : 1663, average : 1594.518
generation : 15, best : 1679, average : 1614.496
generation : 16, best : 1705, average : 1635.042
generation : 17, best : 1708, average : 1648.476
generation : 18, best : 1726, average : 1665.534
generation : 19, best : 1738, average : 1680.648
generation : 20, best : 1756, average : 1696.45
generation : 21, best : 1764, average : 1712.756
generation : 22, best : 1792, average : 1730.13
generation : 23, best : 1799, average : 1743.71
generation : 24, best : 1806, average : 1757.946
generation : 25, best : 1825, average : 1770.552
generation : 26, best : 1831, average : 1784.076
generation : 27, best : 1841, average : 1796.34
generation : 28, best : 1848, average : 1803.966
generation : 29, best : 1856, average : 1814.696
generation : 30, best : 1869, average : 1818.272
generation : 31, best : 1875, average : 1830.92
generation : 32, best : 1877, average : 1836.224
generation : 33, best : 1884, average : 1845.89
generation : 34, best : 1884, average : 1853.9
generation : 35, best : 1893, average : 1861.97
generation : 36, best : 1912, average : 1868.164
generation : 37, best : 1906, average : 1869.862
generation : 38, best : 1921, average : 1878.864
generation : 39, best : 1921, average : 1884.488
generation : 40, best : 1929, average : 1889.886
generation : 41, best : 1940, average : 1893.462
generation : 42, best : 1940, average : 1901.678
generation : 43, best : 1942, average : 1905.584
generation : 44, best : 1949, average : 1913.912
generation : 45, best : 1951, average : 1922.008
generation : 46, best : 1956, average : 1924.946
generation : 47, best : 1963, average : 1929.892
generation : 48, best : 1964, average : 1936.616
generation : 49, best : 1975, average : 1940.086
generation : 50, best : 1979, average : 1944.424
generation : 51, best : 1978, average : 1947.982
generation : 52, best : 1982, average : 1952.568
generation : 53, best : 1992, average : 1955.18
generation : 54, best : 1994, average : 1961.088
generation : 55, best : 1994, average : 1963.568
generation : 56, best : 1996, average : 1970.282
generation : 57, best : 1996, average : 1973.742
generation : 58, best : 1998, average : 1975.088
generation : 59, best : 1998, average : 1977.622
generation : 60, best : 2005, average : 1979.972
generation : 61, best : 2005, average : 1981.928
generation : 62, best : 2010, average : 1984.812
generation : 63, best : 2016, average : 1986.558
generation : 64, best : 2017, average : 1990.266
generation : 65, best : 2019, average : 1991.322
generation : 66, best : 2019, average : 1995.402
generation : 67, best : 2025, average : 1999.128
generation : 68, best : 2025, average : 2002.362
generation : 69, best : 2025, average : 2001.91
generation : 70, best : 2027, average : 2003.188
generation : 71, best : 2030, average : 2004.878
generation : 72, best : 2031, average : 2005.68
generation : 73, best : 2034, average : 2010.162
generation : 74, best : 2034, average : 2012.184
generation : 75, best : 2033, average : 2012.662
generation : 76, best : 2034, average : 2011.534
generation : 77, best : 2036, average : 2017.77
generation : 78, best : 2037, average : 2013.502
generation : 79, best : 2039, average : 2016.17
generation : 80, best : 2040, average : 2019.086
generation : 81, best : 2040, average : 2020.726
generation : 82, best : 2042, average : 2023.876
generation : 83, best : 2042, average : 2023.704
generation : 84, best : 2042, average : 2024.776
generation : 85, best : 2045, average : 2022.504
generation : 86, best : 2048, average : 2024.226
generation : 87, best : 2048, average : 2022.288
generation : 88, best : 2050, average : 2027.184
generation : 89, best : 2050, average : 2031.202
generation : 90, best : 2050, average : 2027.03
generation : 91, best : 2050, average : 2027.078
generation : 92, best : 2050, average : 2030.736
generation : 93, best : 2050, average : 2028.468
generation : 94, best : 2050, average : 2029.856
generation : 95, best : 2050, average : 2031.152
generation : 96, best : 2050, average : 2032.732
generation : 97, best : 2052, average : 2031.132
generation : 98, best : 2052, average : 2030.982
generation : 99, best : 2052, average : 2033.352
generation : 100, best : 2053, average : 2032.996
generation : 101, best : 2053, average : 2026.0
generation : 102, best : 2053, average : 2032.394
generation : 103, best : 2053, average : 2032.744
generation : 104, best : 2053, average : 2034.718
generation : 105, best : 2056, average : 2034.556
generation : 106, best : 2056, average : 2035.908
generation : 107, best : 2056, average : 2036.592
generation : 108, best : 2056, average : 2035.03
generation : 109, best : 2060, average : 2034.9
generation : 110, best : 2063, average : 2037.302
generation : 111, best : 2063, average : 2039.614
generation : 112, best : 2063, average : 2039.454
generation : 113, best : 2063, average : 2041.5
generation : 114, best : 2063, average : 2044.994
generation : 115, best : 2063, average : 2045.39
generation : 116, best : 2067, average : 2046.214
generation : 117, best : 2067, average : 2045.878
generation : 118, best : 2067, average : 2048.352
generation : 119, best : 2067, average : 2048.068
generation : 120, best : 2067, average : 2048.7
generation : 121, best : 2070, average : 2045.206
generation : 122, best : 2070, average : 2048.0
generation : 123, best : 2070, average : 2047.938
generation : 124, best : 2070, average : 2045.488
generation : 125, best : 2070, average : 2049.322
generation : 126, best : 2070, average : 2050.844
generation : 127, best : 2070, average : 2052.864
generation : 128, best : 2070, average : 2052.026
generation : 129, best : 2070, average : 2051.742
generation : 130, best : 2074, average : 2052.826
generation : 131, best : 2074, average : 2052.756
generation : 132, best : 2074, average : 2050.752
generation : 133, best : 2074, average : 2053.064
generation : 134, best : 2074, average : 2051.528
generation : 135, best : 2076, average : 2053.792
generation : 136, best : 2076, average : 2052.982
generation : 137, best : 2076, average : 2057.826
generation : 138, best : 2076, average : 2057.624
generation : 139, best : 2076, average : 2057.708
generation : 140, best : 2076, average : 2057.566
generation : 141, best : 2076, average : 2057.438
generation : 142, best : 2076, average : 2056.67
generation : 143, best : 2076, average : 2055.36
generation : 144, best : 2076, average : 2056.92
generation : 145, best : 2076, average : 2059.306
generation : 146, best : 2076, average : 2059.568
generation : 147, best : 2076, average : 2057.278
generation : 148, best : 2076, average : 2059.29
generation : 149, best : 2077, average : 2057.138
generation : 150, best : 2077, average : 2055.798
generation : 151, best : 2077, average : 2061.174
generation : 152, best : 2077, average : 2056.688
generation : 153, best : 2080, average : 2055.958
generation : 154, best : 2080, average : 2060.914
generation : 155, best : 2080, average : 2059.59
generation : 156, best : 2080, average : 2057.698
generation : 157, best : 2080, average : 2059.474
generation : 158, best : 2080, average : 2063.576
generation : 159, best : 2081, average : 2061.082
generation : 160, best : 2081, average : 2060.888
generation : 161, best : 2081, average : 2065.276
generation : 162, best : 2081, average : 2064.934
generation : 163, best : 2081, average : 2056.338
generation : 164, best : 2081, average : 2061.356
generation : 165, best : 2081, average : 2061.708
generation : 166, best : 2081, average : 2063.014
generation : 167, best : 2083, average : 2060.364
generation : 168, best : 2083, average : 2061.914
generation : 169, best : 2083, average : 2061.166
generation : 170, best : 2083, average : 2061.024
generation : 171, best : 2088, average : 2066.256
generation : 172, best : 2084, average : 2063.776
generation : 173, best : 2084, average : 2064.624
generation : 174, best : 2084, average : 2064.826
generation : 175, best : 2084, average : 2061.158
generation : 176, best : 2084, average : 2065.37
generation : 177, best : 2084, average : 2065.92
generation : 178, best : 2084, average : 2062.024
generation : 179, best : 2084, average : 2065.484
generation : 180, best : 2084, average : 2066.862
generation : 181, best : 2084, average : 2062.39
generation : 182, best : 2084, average : 2066.278
generation : 183, best : 2084, average : 2064.83
generation : 184, best : 2084, average : 2063.028
