trial : 1, best : 2359, average : 2336.502
trial : 2, best : 2324, average : 2297.768
trial : 3, best : 2280, average : 2256.946
trial : 4, best : 2318, average : 2295.192
trial : 5, best : 2177, average : 2155.808
trial : 6, best : 2005, average : 1984.844
trial : 7, best : 2443, average : 2416.72
trial : 8, best : 2353, average : 2325.948
trial : 9, best : 2240, average : 2219.44
trial : 10, best : 2206, average : 2185.378
trial : 11, best : 2107, average : 2086.382
trial : 12, best : 2227, average : 2204.51
trial : 13, best : 2533, average : 2508.276
trial : 14, best : 2118, average : 2097.632
trial : 15, best : 2088, average : 2072.11
trial : 16, best : 2141, average : 2119.812
trial : 17, best : 2328, average : 2302.394
trial : 18, best : 2172, average : 2149.684
trial : 19, best : 2220, average : 2196.304
trial : 20, best : 2277, average : 2258.03
trial : 21, best : 2193, average : 2171.766
trial : 22, best : 2067, average : 2047.774
trial : 23, best : 2196, average : 2175.608
trial : 24, best : 2044, average : 2024.532
trial : 25, best : 2309, average : 2288.946
trial : 26, best : 2193, average : 2173.728
trial : 27, best : 2118, average : 2097.7
trial : 28, best : 2344, average : 2323.392
trial : 29, best : 2158, average : 2137.038
trial : 30, best : 2152, average : 2131.982
bestAverage : OptionalDouble[2223.0]bestAverage : OptionalDouble[2201.4048666666663]
