trial : 1, best : 2280, average : 2255.042
trial : 2, best : 2270, average : 2248.412
trial : 3, best : 2109, average : 2087.466
trial : 4, best : 2291, average : 2270.066
trial : 5, best : 2317, average : 2293.47
trial : 6, best : 2184, average : 2160.18
trial : 7, best : 2023, average : 2004.04
trial : 8, best : 2142, average : 2120.638
trial : 9, best : 2136, average : 2116.476
trial : 10, best : 2223, average : 2200.45
trial : 11, best : 2241, average : 2215.838
trial : 12, best : 2137, average : 2116.148
trial : 13, best : 2278, average : 2250.764
trial : 14, best : 2100, average : 2082.0
trial : 15, best : 2189, average : 2169.466
trial : 16, best : 2123, average : 2105.116
trial : 17, best : 2108, average : 2090.556
trial : 18, best : 2415, average : 2390.836
trial : 19, best : 2215, average : 2195.346
trial : 20, best : 2184, average : 2164.366
trial : 21, best : 2127, average : 2107.538
trial : 22, best : 2020, average : 2001.698
trial : 23, best : 2147, average : 2125.936
trial : 24, best : 2306, average : 2284.004
trial : 25, best : 2208, average : 2185.332
trial : 26, best : 2114, average : 2094.308
trial : 27, best : 2057, average : 2038.914
trial : 28, best : 2054, average : 2034.774
trial : 29, best : 2390, average : 2369.092
trial : 30, best : 2199, average : 2181.618
