trial : 1, best : 2032, average : 2012.894
trial : 2, best : 2087, average : 2069.224
trial : 3, best : 2148, average : 2130.616
trial : 4, best : 2023, average : 2000.992
trial : 5, best : 2245, average : 2223.562
trial : 6, best : 2089, average : 2064.504
trial : 7, best : 2061, average : 2041.876
trial : 8, best : 2094, average : 2074.54
trial : 9, best : 1997, average : 1978.384
trial : 10, best : 2147, average : 2126.584
trial : 11, best : 2199, average : 2177.194
trial : 12, best : 2051, average : 2031.354
trial : 13, best : 2094, average : 2074.736
trial : 14, best : 2108, average : 2087.95
trial : 15, best : 2002, average : 1984.492
trial : 16, best : 2167, average : 2144.458
trial : 17, best : 2140, average : 2121.604
trial : 18, best : 2064, average : 2044.31
trial : 19, best : 2020, average : 2002.112
trial : 20, best : 1994, average : 1977.482
trial : 21, best : 2053, average : 2035.146
trial : 22, best : 2056, average : 2035.876
trial : 23, best : 2230, average : 2210.498
trial : 24, best : 1910, average : 1889.276
trial : 25, best : 1954, average : 1939.118
trial : 26, best : 2092, average : 2071.99
trial : 27, best : 2115, average : 2094.138
trial : 28, best : 1998, average : 1979.822
trial : 29, best : 1850, average : 1835.304
trial : 30, best : 1968, average : 1948.914
